dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,52,Autism__52__seg26,long_gap,high,3,STRATUS-H,9.228802680904383,20.37359538650896,0.801980198019802,0.0,,0.7658581056257043,0.7395833333333334,,,0.9351851851851852,1.0,0.8351471463196792
Autism,52,Autism__52__seg26,jitter,high,3,Pointwise-D,3.83868887087012,13.43558728072368,1.0,,,0.8996153213932042,0.945945945945946,0.0,0.0,0.948019801980198,,0.6151870891130501
Autism,52,Autism__52__seg26,jitter,high,3,STRATUS-D,3.245255157157477,10.96496462377296,1.0,,,0.9590381427015424,0.945945945945946,0.0,0.0,0.948019801980198,,0.6349946962158294
Autism,52,Autism__52__seg26,jitter,high,3,Hybrid-P,10.455805244934767,21.261487948924245,1.0,,,0.7655781496820443,0.7147147147147147,0.361639478523562,0.361639478523562,0.948019801980198,,0.613977447640107
Autism,52,Autism__52__seg26,jitter,high,3,STRATUS-H,9.586355048740788,20.11254413855388,1.0,,,0.7559525798248669,0.7387387387387387,0.3673463330302573,0.3673463330302573,0.948019801980198,,0.6206792171979544
Autism,52,Autism__52__seg26,spike,high,3,Pointwise-D,8.84376034926642,60.66316647697708,1.0,,,0.9615393227677762,0.9542857142857144,0.7557986656851599,0.7557986656851599,0.948019801980198,,0.8905412342462168
Autism,52,Autism__52__seg26,spike,high,3,STRATUS-D,12.696787032899618,82.59502720106691,1.0,,,0.9615393227677762,0.9542857142857144,0.6329113887315811,0.6329113887315811,0.948019801980198,,0.8495788085950239
Autism,52,Autism__52__seg26,spike,high,3,Hybrid-P,11.419564882212786,23.76419924745426,1.0,,,0.7348997376464442,0.7114285714285714,0.9675726227612588,0.9675726227612588,0.948019801980198,,0.8046336439454248
Autism,52,Autism__52__seg26,spike,high,3,STRATUS-H,10.4605781933413,22.97386503873484,1.0,,,0.7300503956358687,0.7485714285714286,0.9675726227612588,0.9675726227612588,0.948019801980198,,0.8153981489895187
Autism,52,Autism__52__seg26,mixed,high,3,Pointwise-D,12.600577255007336,40.60194736283819,0.801980198019802,0.0,1.0,0.9500473613664872,0.918552036199095,0.8598239407246482,0.8598239407246482,0.9351851851851852,1.0,0.945684667658046
Autism,52,Autism__52__seg26,mixed,high,3,STRATUS-D,15.807956915095508,60.65634562050221,0.801980198019802,0.0,1.0,0.9500473613664872,0.9140271493212668,0.7911106675436113,0.7911106675436113,0.9351851851851852,1.0,0.931037035646273
Autism,52,Autism__52__seg26,mixed,high,3,Hybrid-P,18.68016464426321,39.58669085176128,0.801980198019802,0.0,1.0,0.6541391597669723,0.6968325791855203,0.9320884774795029,0.9320884774795029,0.9351851851851852,1.0,0.856612043286399
Autism,52,Autism__52__seg26,mixed,high,3,STRATUS-H,18.94324023573369,40.57854543188137,0.801980198019802,0.0,1.0,0.636665633843951,0.7420814479638009,0.9156343257490906,0.9156343257490906,0.9351851851851852,1.0,0.8588762815113686
Autism,52,Autism__52__seg26,short_gap,low,4,Pointwise-D,2.321167465695736,10.972735905533156,1.0,,1.0,0.903053209512384,0.9490084985835694,,,0.948019801980198,,0.9506872360319844
Autism,52,Autism__52__seg26,short_gap,low,4,STRATUS-D,1.727733751983093,7.753475148294797,1.0,,1.0,0.9604409691537492,0.9490084985835694,,,0.948019801980198,,0.9698164892457728
Autism,52,Autism__52__seg26,short_gap,low,4,Hybrid-P,9.648456969061558,20.634687367924485,1.0,,1.0,0.7674448693394245,0.71671388101983,,,0.948019801980198,,0.8280529167864182
Autism,52,Autism__52__seg26,short_gap,low,4,STRATUS-H,9.9915646966746,20.939842891462582,1.0,,1.0,0.747022483582693,0.71671388101983,,,0.948019801980198,,0.8212454548675076
Autism,52,Autism__52__seg26,long_gap,low,4,Pointwise-D,1.9435223968580757,10.52309436406038,0.9207920792079208,0.0,,0.9061353529110308,0.94311377245509,,,0.9435483870967742,1.0,0.9497497084553737
Autism,52,Autism__52__seg26,long_gap,low,4,STRATUS-D,1.5517989550841305,8.308493885950469,0.9207920792079208,0.0,,0.9517157032038353,0.94311377245509,,,0.9435483870967742,1.0,0.9649431585529752
Autism,52,Autism__52__seg26,long_gap,low,4,Hybrid-P,9.212173091356751,19.976316504132917,0.9207920792079208,0.0,,0.7625265607806383,0.7245508982035929,,,0.9435483870967742,1.0,0.8290258196614104
